Date,ESGV,FXAIX,SSIAX,VICE,Mkt-RF,SMB,HML,RF,ESGV_DIFF,FXAIX_DIFF,SSIAX_DIFF,VICE_DIFF
2018-11-01,0.012271231108981207,0.010541766963554355,0.010348550425718805,0.005243378149806688,0.0129,0.013600000000000001,-0.011399999999999999,8e-05,0.012191231108981206,0.010461766963554355,0.010268550425718805,0.005163378149806688
2018-11-02,-0.007230884078458399,-0.006154884860687604,-0.007008011477019682,-0.007031864061924797,-0.0053,0.0079,0.0067,8e-05,-0.0073108840784584,-0.006234884860687604,-0.007088011477019682,-0.007111864061924798
2018-11-05,0.003213351095581185,0.005563049383164875,0.0,0.016147715881235758,0.004,-0.0101,0.015600000000000001,8e-05,0.003133351095581185,0.005483049383164875,-8e-05,0.016067715881235758
2018-11-06,0.006619558521964164,0.0063675632374098345,0.004886000917829536,-0.0036377102231512914,0.0058,-0.0015,0.0002,8e-05,0.006539558521964164,0.006287563237409834,0.004806000917829536,-0.0037177102231512917
2018-11-07,0.02227413393670208,0.021263241773891828,0.016207332277670572,0.008647223422570516,0.021099999999999997,-0.0034999999999999996,-0.0106,8e-05,0.02219413393670208,0.021183241773891828,0.01612733227767057,0.008567223422570516
2018-11-08,-0.004357744996549062,-0.002031150626396361,0.0,-0.0150504523061743,-0.0028000000000000004,-0.0025,0.0025,8e-05,-0.004437744996549062,-0.002111150626396361,-8e-05,-0.0151304523061743
2018-11-09,-0.008545145480996608,-0.009057478791619555,-0.006379341428125795,-0.00735023673762647,-0.0104,-0.0086,0.0042,8e-05,-0.008625145480996608,-0.009137478791619556,-0.006459341428125796,-0.00743023673762647
2018-11-12,-0.020391069960101094,-0.019615993329447523,-0.016051350103461703,-0.013639883523074992,-0.0206,0.0001,0.0085,8e-05,-0.020471069960101094,-0.019695993329447523,-0.016131350103461704,-0.013719883523074992
2018-11-13,-0.0006439094785598565,-0.0014667089198490135,0.0,-0.010667661195881584,-0.0013,-0.0011,0.0016,8e-05,-0.0007239094785598565,-0.0015467089198490135,-8e-05,-0.010747661195881584
2018-11-14,-0.007944825433573777,-0.007343635717131924,-0.004350357340030864,-0.0038338925615060138,-0.0077,0.0003,-0.0029,8e-05,-0.008024825433573777,-0.007423635717131925,-0.004430357340030864,-0.003913892561506014
2018-11-15,0.012986774852375094,0.010991446476928513,0.008738507334400403,-0.0020044520078393857,0.0118,0.0036,-0.004,8e-05,0.012906774852375093,0.010911446476928512,0.008658507334400403,-0.002084452007839386
2018-11-16,0.0019233043278492623,0.002299645983252052,0.0021655908275479696,0.0026511940677127477,0.0015,0.0001,-0.0007000000000000001,8e-05,0.0018433043278492623,0.002219645983252052,0.0020855908275479694,0.0025711940677127475
2018-11-19,-0.019833770926374616,-0.016687379198052743,-0.016207332277670572,-0.013181021811091043,-0.018799999999999997,-0.0073,0.023,8e-05,-0.019913770926374617,-0.016767379198052743,-0.016287332277670572,-0.013261021811091043
2018-11-20,-0.017841689960187535,-0.01803160551743488,-0.011532103689629203,-0.012058005844494124,-0.018500000000000003,0.0014000000000000002,-0.0054,8e-05,-0.017921689960187535,-0.01811160551743488,-0.011612103689629203,-0.012138005844494124
2018-11-21,0.00553835641113376,0.003132627015757894,0.003888767645307434,0.0010684799409508283,0.0051,0.009899999999999999,-0.0033,8e-05,0.00545835641113376,0.0030526270157578937,0.0038087676453074336,0.0009884799409508283
2018-11-23,-0.004626389826913546,-0.006568280619575817,-0.002213528769236528,-0.0024632055267771458,-0.0055000000000000005,0.0083,-0.006,8e-05,-0.004706389826913546,-0.006648280619575817,-0.002293528769236528,-0.002543205526777146
2018-11-26,0.016821592045441758,0.015716403064741646,0.011092651597335523,-0.009382565433314283,0.016200000000000003,-0.0067,-0.002,8e-05,0.016741592045441758,0.015636403064741646,0.011012651597335523,-0.009462565433314283
2018-11-27,0.001523724536661275,0.003201245351013293,0.0016456038298753306,0.0019108339874385205,0.0011,-0.0109,0.0026,8e-05,0.001443724536661275,0.003121245351013293,0.0015656038298753306,0.0018308339874385205
2018-11-28,0.022603677479065,0.023082523494788454,0.018619835775096405,0.010407213020673378,0.0242,0.0045000000000000005,-0.011699999999999999,8e-05,0.022523677479065,0.023002523494788454,0.018539835775096405,0.010327213020673378
2018-11-29,-0.0017001363928889068,-0.00197521725660732,-0.0016128689126241325,-0.0007796527474215331,-0.0022,-0.0011,-0.001,8e-05,-0.0017801363928889068,-0.0020552172566073203,-0.0016928689126241324,-0.0008596527474215331
2018-11-30,0.009367475438905482,0.0083340847951483,0.008077593119703907,-0.005338889347428544,0.0078000000000000005,-0.0033,-0.0043,8e-05,0.009287475438905481,0.0082540847951483,0.007997593119703907,-0.005418889347428544
2018-12-03,0.010335526580563359,0.010951625104998586,0.008546899024737042,0.008670638584316714,0.0113,-0.0004,-0.008,0.0001,0.01023552658056336,0.010851625104998586,0.008446899024737043,0.008570638584316715
2018-12-04,-0.03319429753506564,-0.03229442840524832,-0.024364395851226517,-0.023741277880252265,-0.0345,-0.0098,-0.0021,0.0001,-0.033294297535065645,-0.032394428405248324,-0.024464395851226516,-0.023841277880252264
2018-12-06,0.00021600908554564313,-0.0011614734203185817,0.0012125679203325301,-0.005953974097407944,-0.0016,0.0013,-0.0105,0.0001,0.00011600908554564313,-0.0012614734203185817,0.00111256792033253,-0.006053974097407944
